date,commodity,market,modal_price,arrivals
2023-01-01,Paddy,Guntur,1559,25
2023-01-01,Paddy,Vijayawada,1761,39
2023-01-01,Paddy,Tirupati,1738,25
2023-01-01,Paddy,Anantapur,1786,37
2023-01-02,Paddy,Guntur,1715,72
2023-01-02,Paddy,Vijayawada,1645,87
2023-01-02,Paddy,Tirupati,1545,92
2023-01-02,Paddy,Anantapur,1843,82
2023-01-03,Paddy,Guntur,1732,95
2023-01-03,Paddy,Vijayawada,1765,107
2023-01-03,Paddy,Tirupati,1497,118
2023-01-03,Paddy,Anantapur,1492,119
2023-01-04,Paddy,Guntur,1763,63
2023-01-04,Paddy,Vijayawada,1603,64
2023-01-04,Paddy,Tirupati,1543,56
2023-01-04,Paddy,Anantapur,1777,92
2023-01-05,Paddy,Guntur,1469,118
2023-01-05,Paddy,Vijayawada,1753,107
2023-01-05,Paddy,Tirupati,1472,33
2023-01-05,Paddy,Anantapur,1672,34
2023-01-06,Paddy,Guntur,1610,97
2023-01-06,Paddy,Vijayawada,1760,32
2023-01-06,Paddy,Tirupati,1783,113
2023-01-06,Paddy,Anantapur,1528,49
2023-01-07,Paddy,Guntur,1670,41
2023-01-07,Paddy,Vijayawada,1724,103
2023-01-07,Paddy,Tirupati,1712,37
2023-01-07,Paddy,Anantapur,1607,84
2023-01-08,Paddy,Guntur,1482,46
2023-01-08,Paddy,Vijayawada,1472,64
2023-01-08,Paddy,Tirupati,1598,59
2023-01-08,Paddy,Anantapur,1569,27
2023-01-09,Paddy,Guntur,1734,112
2023-01-09,Paddy,Vijayawada,1790,106
2023-01-09,Paddy,Tirupati,1821,100
2023-01-09,Paddy,Anantapur,1561,52
2023-01-10,Paddy,Guntur,1507,23
2023-01-10,Paddy,Vijayawada,1787,90
2023-01-10,Paddy,Tirupati,1498,93
2023-01-10,Paddy,Anantapur,1551,57
2023-01-11,Paddy,Guntur,1563,53
2023-01-11,Paddy,Vijayawada,1682,81
2023-01-11,Paddy,Tirupati,1536,35
2023-01-11,Paddy,Anantapur,1533,53
2023-01-12,Paddy,Guntur,1670,116
2023-01-12,Paddy,Vijayawada,1673,74
2023-01-12,Paddy,Tirupati,1773,23
2023-01-12,Paddy,Anantapur,1494,71
2023-01-13,Paddy,Guntur,1559,23
2023-01-13,Paddy,Vijayawada,1753,103
2023-01-13,Paddy,Tirupati,1807,39
2023-01-13,Paddy,Anantapur,1696,33
2023-01-14,Paddy,Guntur,1458,117
2023-01-14,Paddy,Vijayawada,1843,87
2023-01-14,Paddy,Tirupati,1539,109
2023-01-14,Paddy,Anantapur,1542,67
2023-01-15,Paddy,Guntur,1607,51
2023-01-15,Paddy,Vijayawada,1702,98
2023-01-15,Paddy,Tirupati,1750,47
2023-01-15,Paddy,Anantapur,1462,46
2023-01-16,Paddy,Guntur,1604,46
2023-01-16,Paddy,Vijayawada,1827,59
2023-01-16,Paddy,Tirupati,1824,70
2023-01-16,Paddy,Anantapur,1576,31
2023-01-17,Paddy,Guntur,1581,52
2023-01-17,Paddy,Vijayawada,1757,53
2023-01-17,Paddy,Tirupati,1565,85
2023-01-17,Paddy,Anantapur,1557,25
2023-01-18,Paddy,Guntur,1726,92
2023-01-18,Paddy,Vijayawada,1681,77
2023-01-18,Paddy,Tirupati,1621,22
2023-01-18,Paddy,Anantapur,1764,73
2023-01-19,Paddy,Guntur,1842,116
2023-01-19,Paddy,Vijayawada,1717,99
2023-01-19,Paddy,Tirupati,1637,107
2023-01-19,Paddy,Anantapur,1455,42
2023-01-20,Paddy,Guntur,1562,33
2023-01-20,Paddy,Vijayawada,1640,60
2023-01-20,Paddy,Tirupati,1591,39
2023-01-20,Paddy,Anantapur,1680,48
2023-01-21,Paddy,Guntur,1812,56
2023-01-21,Paddy,Vijayawada,1650,65
2023-01-21,Paddy,Tirupati,1749,99
2023-01-21,Paddy,Anantapur,1782,72
2023-01-22,Paddy,Guntur,1826,81
2023-01-22,Paddy,Vijayawada,1655,112
2023-01-22,Paddy,Tirupati,1822,77
2023-01-22,Paddy,Anantapur,1688,99
2023-01-23,Paddy,Guntur,1828,30
2023-01-23,Paddy,Vijayawada,1650,97
2023-01-23,Paddy,Tirupati,1489,48
2023-01-23,Paddy,Anantapur,1767,73
2023-01-24,Paddy,Guntur,1737,37
2023-01-24,Paddy,Vijayawada,1553,35
2023-01-24,Paddy,Tirupati,1622,21
2023-01-24,Paddy,Anantapur,1719,82
2023-01-25,Paddy,Guntur,1791,65
2023-01-25,Paddy,Vijayawada,1792,76
2023-01-25,Paddy,Tirupati,1644,115
2023-01-25,Paddy,Anantapur,1815,51
2023-01-26,Paddy,Guntur,1775,28
2023-01-26,Paddy,Vijayawada,1663,65
2023-01-26,Paddy,Tirupati,1604,80
2023-01-26,Paddy,Anantapur,1704,116
2023-01-27,Paddy,Guntur,1520,74
2023-01-27,Paddy,Vijayawada,1733,112
2023-01-27,Paddy,Tirupati,1479,41
2023-01-27,Paddy,Anantapur,1745,68
2023-01-28,Paddy,Guntur,1744,98
2023-01-28,Paddy,Vijayawada,1603,95
2023-01-28,Paddy,Tirupati,1589,35
2023-01-28,Paddy,Anantapur,1521,59
2023-01-29,Paddy,Guntur,1490,116
2023-01-29,Paddy,Vijayawada,1699,89
2023-01-29,Paddy,Tirupati,1692,119
2023-01-29,Paddy,Anantapur,1632,54
2023-01-30,Paddy,Guntur,1842,86
2023-01-30,Paddy,Vijayawada,1691,31
2023-01-30,Paddy,Tirupati,1496,85
2023-01-30,Paddy,Anantapur,1595,110
2023-01-31,Paddy,Guntur,1536,106
2023-01-31,Paddy,Vijayawada,1708,94
2023-01-31,Paddy,Tirupati,1778,26
2023-01-31,Paddy,Anantapur,1488,46
2023-02-01,Paddy,Guntur,1504,97
2023-02-01,Paddy,Vijayawada,1544,33
2023-02-01,Paddy,Tirupati,1546,96
2023-02-01,Paddy,Anantapur,1699,66
2023-02-02,Paddy,Guntur,1797,60
2023-02-02,Paddy,Vijayawada,1487,110
2023-02-02,Paddy,Tirupati,1534,88
2023-02-02,Paddy,Anantapur,1827,115
2023-02-03,Paddy,Guntur,1711,68
2023-02-03,Paddy,Vijayawada,1487,40
2023-02-03,Paddy,Tirupati,1722,64
2023-02-03,Paddy,Anantapur,1541,76
2023-02-04,Paddy,Guntur,1705,96
2023-02-04,Paddy,Vijayawada,1837,32
2023-02-04,Paddy,Tirupati,1752,73
2023-02-04,Paddy,Anantapur,1837,66
2023-02-05,Paddy,Guntur,1680,80
2023-02-05,Paddy,Vijayawada,1482,73
2023-02-05,Paddy,Tirupati,1832,93
2023-02-05,Paddy,Anantapur,1706,49
2023-02-06,Paddy,Guntur,1752,100
2023-02-06,Paddy,Vijayawada,1759,31
2023-02-06,Paddy,Tirupati,1635,96
2023-02-06,Paddy,Anantapur,1660,32
2023-02-07,Paddy,Guntur,1491,109
2023-02-07,Paddy,Vijayawada,1734,79
2023-02-07,Paddy,Tirupati,1706,21
2023-02-07,Paddy,Anantapur,1793,51
2023-02-08,Paddy,Guntur,1515,30
2023-02-08,Paddy,Vijayawada,1593,63
2023-02-08,Paddy,Tirupati,1479,105
2023-02-08,Paddy,Anantapur,1689,99
2023-02-09,Paddy,Guntur,1460,98
2023-02-09,Paddy,Vijayawada,1841,77
2023-02-09,Paddy,Tirupati,1571,49
