date,commodity,market,modal_price,arrivals,rainfall,temperature,humidity
2023-01-01,Paddy,Guntur,1559,25,16.84,21.79,64.78
2023-01-01,Paddy,Vijayawada,1761,39,16.84,21.79,64.78
2023-01-01,Paddy,Tirupati,1738,25,16.84,21.79,64.78
2023-01-01,Paddy,Anantapur,1786,37,16.84,21.79,64.78
2023-01-02,Paddy,Guntur,1715,72,5.15,33.08,91.7
2023-01-02,Paddy,Vijayawada,1645,87,5.15,33.08,91.7
2023-01-02,Paddy,Tirupati,1545,92,5.15,33.08,91.7
2023-01-02,Paddy,Anantapur,1843,82,5.15,33.08,91.7
2023-01-03,Paddy,Anantapur,1492,119,6.74,23.85,68.37
2023-01-03,Paddy,Tirupati,1497,118,6.74,23.85,68.37
2023-01-03,Paddy,Guntur,1732,95,6.74,23.85,68.37
2023-01-03,Paddy,Vijayawada,1765,107,6.74,23.85,68.37
2023-01-04,Paddy,Guntur,1763,63,7.27,23.39,86.45
2023-01-04,Paddy,Vijayawada,1603,64,7.27,23.39,86.45
2023-01-04,Paddy,Tirupati,1543,56,7.27,23.39,86.45
2023-01-04,Paddy,Anantapur,1777,92,7.27,23.39,86.45
2023-01-05,Paddy,Anantapur,1672,34,2.14,22.86,80.89
2023-01-05,Paddy,Guntur,1469,118,2.14,22.86,80.89
2023-01-05,Paddy,Vijayawada,1753,107,2.14,22.86,80.89
2023-01-05,Paddy,Tirupati,1472,33,2.14,22.86,80.89
2023-01-06,Paddy,Anantapur,1528,49,6.63,28.88,60.9
2023-01-06,Paddy,Tirupati,1783,113,6.63,28.88,60.9
2023-01-06,Paddy,Guntur,1610,97,6.63,28.88,60.9
2023-01-06,Paddy,Vijayawada,1760,32,6.63,28.88,60.9
2023-01-07,Paddy,Guntur,1670,41,3.16,27.44,86.12
2023-01-07,Paddy,Vijayawada,1724,103,3.16,27.44,86.12
2023-01-07,Paddy,Tirupati,1712,37,3.16,27.44,86.12
2023-01-07,Paddy,Anantapur,1607,84,3.16,27.44,86.12
2023-01-08,Paddy,Guntur,1482,46,4.88,30.79,61.22
2023-01-08,Paddy,Vijayawada,1472,64,4.88,30.79,61.22
2023-01-08,Paddy,Tirupati,1598,59,4.88,30.79,61.22
2023-01-08,Paddy,Anantapur,1569,27,4.88,30.79,61.22
2023-01-09,Paddy,Vijayawada,1790,106,2.11,28.57,74.8
2023-01-09,Paddy,Anantapur,1561,52,2.11,28.57,74.8
2023-01-09,Paddy,Guntur,1734,112,2.11,28.57,74.8
2023-01-09,Paddy,Tirupati,1821,100,2.11,28.57,74.8
2023-01-10,Paddy,Guntur,1507,23,16.94,20.41,71.14
2023-01-10,Paddy,Vijayawada,1787,90,16.94,20.41,71.14
2023-01-10,Paddy,Tirupati,1498,93,16.94,20.41,71.14
2023-01-10,Paddy,Anantapur,1551,57,16.94,20.41,71.14
2023-01-11,Paddy,Tirupati,1536,35,10.65,32.66,65.93
2023-01-11,Paddy,Guntur,1563,53,10.65,32.66,65.93
2023-01-11,Paddy,Vijayawada,1682,81,10.65,32.66,65.93
2023-01-11,Paddy,Anantapur,1533,53,10.65,32.66,65.93
2023-01-12,Paddy,Anantapur,1494,71,4.98,26.71,76.75
2023-01-12,Paddy,Tirupati,1773,23,4.98,26.71,76.75
2023-01-12,Paddy,Guntur,1670,116,4.98,26.71,76.75
2023-01-12,Paddy,Vijayawada,1673,74,4.98,26.71,76.75
2023-01-13,Paddy,Guntur,1559,23,14.27,31.35,88.31
2023-01-13,Paddy,Vijayawada,1753,103,14.27,31.35,88.31
2023-01-13,Paddy,Tirupati,1807,39,14.27,31.35,88.31
2023-01-13,Paddy,Anantapur,1696,33,14.27,31.35,88.31
2023-01-14,Paddy,Anantapur,1542,67,11.62,27.27,92.29
2023-01-14,Paddy,Guntur,1458,117,11.62,27.27,92.29
2023-01-14,Paddy,Vijayawada,1843,87,11.62,27.27,92.29
2023-01-14,Paddy,Tirupati,1539,109,11.62,27.27,92.29
2023-01-15,Paddy,Anantapur,1462,46,1.94,21.49,68.91
2023-01-15,Paddy,Tirupati,1750,47,1.94,21.49,68.91
2023-01-15,Paddy,Guntur,1607,51,1.94,21.49,68.91
2023-01-15,Paddy,Vijayawada,1702,98,1.94,21.49,68.91
2023-01-16,Paddy,Tirupati,1824,70,6.09,25.47,74.22
2023-01-16,Paddy,Guntur,1604,46,6.09,25.47,74.22
2023-01-16,Paddy,Vijayawada,1827,59,6.09,25.47,74.22
2023-01-16,Paddy,Anantapur,1576,31,6.09,25.47,74.22
2023-01-17,Paddy,Anantapur,1557,25,1.05,28.6,69.29
2023-01-17,Paddy,Tirupati,1565,85,1.05,28.6,69.29
2023-01-17,Paddy,Vijayawada,1757,53,1.05,28.6,69.29
2023-01-17,Paddy,Guntur,1581,52,1.05,28.6,69.29
2023-01-18,Paddy,Guntur,1726,92,19.12,20.24,88.87
