date,commodity,market,modal_price,arrivals
2023-01-01,Potato,Guntur,1852,28
2023-01-01,Potato,Vijayawada,1884,61
2023-01-01,Potato,Tirupati,1797,109
2023-01-01,Potato,Anantapur,1955,99
2023-01-02,Potato,Guntur,1810,30
2023-01-02,Potato,Vijayawada,1682,65
2023-01-02,Potato,Tirupati,1871,83
2023-01-02,Potato,Anantapur,1786,91
2023-01-03,Potato,Guntur,1785,86
2023-01-03,Potato,Vijayawada,1973,83
2023-01-03,Potato,Tirupati,1941,116
2023-01-03,Potato,Anantapur,1748,95
2023-01-04,Potato,Guntur,1848,58
2023-01-04,Potato,Vijayawada,1826,53
2023-01-04,Potato,Tirupati,1728,119
2023-01-04,Potato,Anantapur,1725,66
2023-01-05,Potato,Guntur,1828,84
2023-01-05,Potato,Vijayawada,1654,27
2023-01-05,Potato,Tirupati,1616,52
2023-01-05,Potato,Anantapur,1957,77
2023-01-06,Potato,Guntur,1968,58
2023-01-06,Potato,Vijayawada,1991,20
2023-01-06,Potato,Tirupati,1792,66
2023-01-06,Potato,Anantapur,1892,20
2023-01-07,Potato,Guntur,1665,84
2023-01-07,Potato,Vijayawada,1674,111
2023-01-07,Potato,Tirupati,1991,43
2023-01-07,Potato,Anantapur,1931,80
2023-01-08,Potato,Guntur,1665,94
2023-01-08,Potato,Vijayawada,1897,103
2023-01-08,Potato,Tirupati,1616,103
2023-01-08,Potato,Anantapur,1799,21
2023-01-09,Potato,Guntur,1944,72
2023-01-09,Potato,Vijayawada,1600,79
2023-01-09,Potato,Tirupati,1793,50
2023-01-09,Potato,Anantapur,1925,29
2023-01-10,Potato,Guntur,1636,80
2023-01-10,Potato,Vijayawada,1605,73
2023-01-10,Potato,Tirupati,1929,119
2023-01-10,Potato,Anantapur,1851,100
2023-01-11,Potato,Guntur,1839,87
2023-01-11,Potato,Vijayawada,1625,115
2023-01-11,Potato,Tirupati,1895,41
2023-01-11,Potato,Anantapur,1821,46
2023-01-12,Potato,Guntur,1667,64
2023-01-12,Potato,Vijayawada,1724,65
2023-01-12,Potato,Tirupati,1820,35
2023-01-12,Potato,Anantapur,1870,109
2023-01-13,Potato,Guntur,1767,20
2023-01-13,Potato,Vijayawada,1699,72
2023-01-13,Potato,Tirupati,1702,74
2023-01-13,Potato,Anantapur,1798,41
2023-01-14,Potato,Guntur,1754,76
2023-01-14,Potato,Vijayawada,1747,64
2023-01-14,Potato,Tirupati,1701,58
2023-01-14,Potato,Anantapur,1973,90
2023-01-15,Potato,Guntur,1656,62
2023-01-15,Potato,Vijayawada,1623,117
2023-01-15,Potato,Tirupati,1609,38
2023-01-15,Potato,Anantapur,1872,24
2023-01-16,Potato,Guntur,1938,41
2023-01-16,Potato,Vijayawada,1958,42
2023-01-16,Potato,Tirupati,1971,80
2023-01-16,Potato,Anantapur,1901,30
2023-01-17,Potato,Guntur,1974,69
2023-01-17,Potato,Vijayawada,1687,72
2023-01-17,Potato,Tirupati,1975,99
