date,commodity,market,modal_price,arrivals,rainfall,temperature,humidity
2023-01-01,Potato,Guntur,1852,28,16.84,21.79,64.78
2023-01-01,Potato,Vijayawada,1884,61,16.84,21.79,64.78
2023-01-01,Potato,Tirupati,1797,109,16.84,21.79,64.78
2023-01-01,Potato,Anantapur,1955,99,16.84,21.79,64.78
2023-01-02,Potato,Guntur,1810,30,5.15,33.08,91.7
2023-01-02,Potato,Vijayawada,1682,65,5.15,33.08,91.7
2023-01-02,Potato,Tirupati,1871,83,5.15,33.08,91.7
2023-01-02,Potato,Anantapur,1786,91,5.15,33.08,91.7
2023-01-03,Potato,Anantapur,1748,95,6.74,23.85,68.37
2023-01-03,Potato,Tirupati,1941,116,6.74,23.85,68.37
2023-01-03,Potato,Guntur,1785,86,6.74,23.85,68.37
2023-01-03,Potato,Vijayawada,1973,83,6.74,23.85,68.37
2023-01-04,Potato,Guntur,1848,58,7.27,23.39,86.45
2023-01-04,Potato,Vijayawada,1826,53,7.27,23.39,86.45
2023-01-04,Potato,Tirupati,1728,119,7.27,23.39,86.45
2023-01-04,Potato,Anantapur,1725,66,7.27,23.39,86.45
2023-01-05,Potato,Anantapur,1957,77,2.14,22.86,80.89
2023-01-05,Potato,Guntur,1828,84,2.14,22.86,80.89
2023-01-05,Potato,Vijayawada,1654,27,2.14,22.86,80.89
2023-01-05,Potato,Tirupati,1616,52,2.14,22.86,80.89
2023-01-06,Potato,Anantapur,1892,20,6.63,28.88,60.9
2023-01-06,Potato,Tirupati,1792,66,6.63,28.88,60.9
2023-01-06,Potato,Guntur,1968,58,6.63,28.88,60.9
2023-01-06,Potato,Vijayawada,1991,20,6.63,28.88,60.9
2023-01-07,Potato,Guntur,1665,84,3.16,27.44,86.12
2023-01-07,Potato,Vijayawada,1674,111,3.16,27.44,86.12
2023-01-07,Potato,Tirupati,1991,43,3.16,27.44,86.12
2023-01-07,Potato,Anantapur,1931,80,3.16,27.44,86.12
2023-01-08,Potato,Guntur,1665,94,4.88,30.79,61.22
2023-01-08,Potato,Vijayawada,1897,103,4.88,30.79,61.22
2023-01-08,Potato,Tirupati,1616,103,4.88,30.79,61.22
2023-01-08,Potato,Anantapur,1799,21,4.88,30.79,61.22
2023-01-09,Potato,Vijayawada,1600,79,2.11,28.57,74.8
2023-01-09,Potato,Anantapur,1925,29,2.11,28.57,74.8
2023-01-09,Potato,Guntur,1944,72,2.11,28.57,74.8
2023-01-09,Potato,Tirupati,1793,50,2.11,28.57,74.8
2023-01-10,Potato,Guntur,1636,80,16.94,20.41,71.14
2023-01-10,Potato,Vijayawada,1605,73,16.94,20.41,71.14
2023-01-10,Potato,Tirupati,1929,119,16.94,20.41,71.14
2023-01-10,Potato,Anantapur,1851,100,16.94,20.41,71.14
2023-01-11,Potato,Tirupati,1895,41,10.65,32.66,65.93
2023-01-11,Potato,Guntur,1839,87,10.65,32.66,65.93
2023-01-11,Potato,Vijayawada,1625,115,10.65,32.66,65.93
2023-01-11,Potato,Anantapur,1821,46,10.65,32.66,65.93
2023-01-12,Potato,Anantapur,1870,109,4.98,26.71,76.75
2023-01-12,Potato,Tirupati,1820,35,4.98,26.71,76.75
2023-01-12,Potato,Guntur,1667,64,4.98,26.71,76.75
2023-01-12,Potato,Vijayawada,1724,65,4.98,26.71,76.75
2023-01-13,Potato,Guntur,1767,20,14.27,31.35,88.31
2023-01-13,Potato,Vijayawada,1699,72,14.27,31.35,88.31
2023-01-13,Potato,Tirupati,1702,74,14.27,31.35,88.31
2023-01-13,Potato,Anantapur,1798,41,14.27,31.35,88.31
2023-01-14,Potato,Anantapur,1973,90,11.62,27.27,92.29
2023-01-14,Potato,Guntur,1754,76,11.62,27.27,92.29
2023-01-14,Potato,Vijayawada,1747,64,11.62,27.27,92.29
2023-01-14,Potato,Tirupati,1701,58,11.62,27.27,92.29
2023-01-15,Potato,Anantapur,1872,24,1.94,21.49,68.91
2023-01-15,Potato,Tirupati,1609,38,1.94,21.49,68.91
2023-01-15,Potato,Guntur,1656,62,1.94,21.49,68.91
2023-01-15,Potato,Vijayawada,1623,117,1.94,21.49,68.91
2023-01-16,Potato,Tirupati,1971,80,6.09,25.47,74.22
2023-01-16,Potato,Guntur,1938,41,6.09,25.47,74.22
2023-01-16,Potato,Vijayawada,1958,42,6.09,25.47,74.22
2023-01-16,Potato,Anantapur,1901,30,6.09,25.47,74.22
2023-01-17,Potato,Anantapur,1947,80,1.05,28.6,69.29
2023-01-17,Potato,Tirupati,1975,99,1.05,28.6,69.29
2023-01-17,Potato,Vijayawada,1687,72,1.05,28.6,69.29
2023-01-17,Potato,Guntur,1974,69,1.05,28.6,69.29
2023-01-18,Potato,Guntur,1903,104,19.12,20.24,88.87
2023-01-18,Potato,Vijayawada,1801,84,19.12,20.24,88.87
2023-01-18,Potato,Tirupati,1713,50,19.12,20.24,88.87
2023-01-18,Potato,Anantapur,1826,48,19.12,20.24,88.87
2023-01-19,Potato,Tirupati,1931,51,19.97,33.55,77.15
2023-01-19,Potato,Anantapur,1643,30,19.97,33.55,77.15
2023-01-19,Potato,Guntur,1928,56,19.97,33.55,77.15
2023-01-19,Potato,Vijayawada,1986,94,19.97,33.55,77.15
2023-01-20,Potato,Guntur,1792,112,12.66,27.44,61.76
