date,commodity,market,modal_price,arrivals,rainfall,temperature,humidity
2023-01-01,Tomato,Guntur,2801,52.73,16.84,21.79,64.78
2023-01-01,Tomato,Vijayawada,2653,30.85,16.84,21.79,64.78
2023-01-01,Tomato,Tirupati,1771,31.23,16.84,21.79,64.78
2023-01-01,Tomato,Anantapur,2031,40.32,16.84,21.79,64.78
2023-01-02,Tomato,Guntur,2962,38.57,5.15,33.08,91.7
2023-01-02,Tomato,Vijayawada,1913,54.79,5.15,33.08,91.7
2023-01-02,Tomato,Tirupati,1612,41.67,5.15,33.08,91.7
2023-01-02,Tomato,Anantapur,2852,52.74,5.15,33.08,91.7
2023-01-03,Tomato,Anantapur,2435,51.94,6.74,23.85,68.37
2023-01-03,Tomato,Tirupati,2351,40.94,6.74,23.85,68.37
2023-01-03,Tomato,Guntur,2897,53.36,6.74,23.85,68.37
2023-01-03,Tomato,Vijayawada,1692,43.84,6.74,23.85,68.37
2023-01-04,Tomato,Guntur,1636,33.86,7.27,23.39,86.45
2023-01-04,Tomato,Vijayawada,1773,55.33,7.27,23.39,86.45
2023-01-04,Tomato,Tirupati,2797,59.28,7.27,23.39,86.45
2023-01-04,Tomato,Anantapur,2104,52.18,7.27,23.39,86.45
2023-01-05,Tomato,Anantapur,2785,53.04,2.14,22.86,80.89
2023-01-05,Tomato,Guntur,1999,46.37,2.14,22.86,80.89
2023-01-05,Tomato,Vijayawada,1524,42.1,2.14,22.86,80.89
2023-01-05,Tomato,Tirupati,2885,59.34,2.14,22.86,80.89
2023-01-06,Tomato,Anantapur,2101,31.8,6.63,28.88,60.9
2023-01-06,Tomato,Tirupati,1954,49.46,6.63,28.88,60.9
2023-01-06,Tomato,Guntur,1566,31.89,6.63,28.88,60.9
2023-01-06,Tomato,Vijayawada,1962,50.89,6.63,28.88,60.9
2023-01-07,Tomato,Guntur,2999,52.47,3.16,27.44,86.12
2023-01-07,Tomato,Vijayawada,2261,40.24,3.16,27.44,86.12
2023-01-07,Tomato,Tirupati,2547,31.3,3.16,27.44,86.12
2023-01-07,Tomato,Anantapur,1675,52.69,3.16,27.44,86.12
2023-01-08,Tomato,Guntur,2535,53.57,4.88,30.79,61.22
2023-01-08,Tomato,Vijayawada,1657,51.52,4.88,30.79,61.22
2023-01-08,Tomato,Tirupati,2113,41.33,4.88,30.79,61.22
2023-01-08,Tomato,Anantapur,2084,56.78,4.88,30.79,61.22
2023-01-09,Tomato,Vijayawada,2648,30.55,2.11,28.57,74.8
2023-01-09,Tomato,Anantapur,2829,37.38,2.11,28.57,74.8
2023-01-09,Tomato,Guntur,1662,37.57,2.11,28.57,74.8
2023-01-09,Tomato,Tirupati,1634,58.0,2.11,28.57,74.8
2023-01-10,Tomato,Guntur,2477,42.62,16.94,20.41,71.14
2023-01-10,Tomato,Vijayawada,2460,55.57,16.94,20.41,71.14
2023-01-10,Tomato,Tirupati,2842,44.14,16.94,20.41,71.14
2023-01-10,Tomato,Anantapur,1633,38.81,16.94,20.41,71.14
2023-01-11,Tomato,Tirupati,2033,40.4,10.65,32.66,65.93
2023-01-11,Tomato,Guntur,2077,39.7,10.65,32.66,65.93
2023-01-11,Tomato,Vijayawada,2267,36.17,10.65,32.66,65.93
2023-01-11,Tomato,Anantapur,2631,54.64,10.65,32.66,65.93
2023-01-12,Tomato,Anantapur,2058,35.46,4.98,26.71,76.75
2023-01-12,Tomato,Tirupati,2541,38.73,4.98,26.71,76.75
2023-01-12,Tomato,Guntur,2869,50.97,4.98,26.71,76.75
2023-01-12,Tomato,Vijayawada,2683,54.76,4.98,26.71,76.75
2023-01-13,Tomato,Guntur,2144,58.01,14.27,31.35,88.31
2023-01-13,Tomato,Vijayawada,1874,33.85,14.27,31.35,88.31
2023-01-13,Tomato,Tirupati,2983,57.61,14.27,31.35,88.31
2023-01-13,Tomato,Anantapur,2629,53.6,14.27,31.35,88.31
2023-01-14,Tomato,Anantapur,2206,42.19,11.62,27.27,92.29
2023-01-14,Tomato,Guntur,1635,40.45,11.62,27.27,92.29
2023-01-14,Tomato,Vijayawada,2584,44.07,11.62,27.27,92.29
2023-01-14,Tomato,Tirupati,2799,40.05,11.62,27.27,92.29
2023-01-15,Tomato,Anantapur,1614,53.26,1.94,21.49,68.91
2023-01-15,Tomato,Tirupati,1721,35.85,1.94,21.49,68.91
2023-01-15,Tomato,Guntur,1631,49.67,1.94,21.49,68.91
2023-01-15,Tomato,Vijayawada,1708,55.6,1.94,21.49,68.91
2023-01-16,Tomato,Tirupati,2163,38.53,6.09,25.47,74.22
2023-01-16,Tomato,Guntur,2676,41.36,6.09,25.47,74.22
2023-01-16,Tomato,Vijayawada,2846,32.46,6.09,25.47,74.22
2023-01-16,Tomato,Anantapur,2223,48.16,6.09,25.47,74.22
2023-01-17,Tomato,Anantapur,2463,49.9,1.05,28.6,69.29
2023-01-17,Tomato,Tirupati,2659,59.8,1.05,28.6,69.29
2023-01-17,Tomato,Vijayawada,1753,46.74,1.05,28.6,69.29
2023-01-17,Tomato,Guntur,2303,59.65,1.05,28.6,69.29
2023-01-18,Tomato,Guntur,1723,50.54,19.12,20.24,88.87
2023-01-18,Tomato,Vijayawada,2490,31.7,19.12,20.24,88.87
2023-01-18,Tomato,Tirupati,2764,35.11,19.12,20.24,88.87
2023-01-18,Tomato,Anantapur,1825,59.04,19.12,20.24,88.87
2023-01-19,Tomato,Tirupati,1583,49.16,19.97,33.55,77.15
2023-01-19,Tomato,Anantapur,1937,51.79,19.97,33.55,77.15
2023-01-19,Tomato,Guntur,2044,56.6,19.97,33.55,77.15
2023-01-19,Tomato,Vijayawada,2632,37.41,19.97,33.55,77.15
2023-01-20,Tomato,Guntur,1955,48.75,12.66,27.44,61.76
2023-01-20,Tomato,Vijayawada,2746,35.87,12.66,27.44,61.76
2023-01-20,Tomato,Tirupati,2568,44.14,12.66,27.44,61.76
2023-01-20,Tomato,Anantapur,2292,37.08,12.66,27.44,61.76
2023-01-21,Tomato,Anantapur,1809,34.25,13.25,29.4,86.55
2023-01-21,Tomato,Guntur,2592,59.31,13.25,29.4,86.55
2023-01-21,Tomato,Vijayawada,2568,33.65,13.25,29.4,86.55
2023-01-21,Tomato,Tirupati,2647,56.89,13.25,29.4,86.55
2023-01-22,Tomato,Tirupati,1776,43.42,13.18,34.28,81.72
2023-01-22,Tomato,Anantapur,2851,57.82,13.18,34.28,81.72
2023-01-22,Tomato,Guntur,1722,37.65,13.18,34.28,81.72
2023-01-22,Tomato,Vijayawada,1912,50.32,13.18,34.28,81.72
2023-01-23,Tomato,Anantapur,2871,55.39,13.55,31.59,80.44
2023-01-23,Tomato,Tirupati,2071,59.94,13.55,31.59,80.44
2023-01-23,Tomato,Vijayawada,2646,51.77,13.55,31.59,80.44
2023-01-23,Tomato,Guntur,1819,55.46,13.55,31.59,80.44
2023-01-24,Tomato,Guntur,2822,56.01,2.02,21.46,88.2
2023-01-24,Tomato,Vijayawada,2948,42.7,2.02,21.46,88.2
2023-01-24,Tomato,Tirupati,2576,48.82,2.02,21.46,88.2
2023-01-24,Tomato,Anantapur,1872,42.27,2.02,21.46,88.2
2023-01-25,Tomato,Tirupati,1793,30.86,13.04,30.27,93.87
2023-01-25,Tomato,Anantapur,1897,30.37,13.04,30.27,93.87
2023-01-25,Tomato,Guntur,2470,51.84,13.04,30.27,93.87
2023-01-25,Tomato,Vijayawada,2443,49.32,13.04,30.27,93.87
2023-01-26,Tomato,Guntur,1526,57.28,16.53,31.6,64.04
2023-01-26,Tomato,Vijayawada,1716,58.9,16.53,31.6,64.04
2023-01-26,Tomato,Tirupati,2135,56.12,16.53,31.6,64.04
2023-01-26,Tomato,Anantapur,2984,34.01,16.53,31.6,64.04
2023-01-27,Tomato,Anantapur,2301,48.22,11.22,28.36,82.76
2023-01-27,Tomato,Guntur,1525,49.61,11.22,28.36,82.76
2023-01-27,Tomato,Vijayawada,1825,50.75,11.22,28.36,82.76
2023-01-27,Tomato,Tirupati,1748,32.13,11.22,28.36,82.76
2023-01-28,Tomato,Anantapur,2422,43.16,19.99,20.77,65.01
2023-01-28,Tomato,Tirupati,1689,57.07,19.99,20.77,65.01
2023-01-28,Tomato,Guntur,2068,44.31,19.99,20.77,65.01
2023-01-28,Tomato,Vijayawada,2947,36.66,19.99,20.77,65.01
2023-01-29,Tomato,Guntur,1608,49.31,11.96,33.01,77.97
2023-01-29,Tomato,Vijayawada,2727,49.75,11.96,33.01,77.97
2023-01-29,Tomato,Tirupati,1873,41.42,11.96,33.01,77.97
2023-01-29,Tomato,Anantapur,1985,36.71,11.96,33.01,77.97
2023-01-30,Tomato,Anantapur,2290,43.01,9.95,26.08,70.14
2023-01-30,Tomato,Guntur,1750,38.12,9.95,26.08,70.14
2023-01-30,Tomato,Vijayawada,2607,46.12,9.95,26.08,70.14
2023-01-30,Tomato,Tirupati,1536,47.07,9.95,26.08,70.14
2023-01-31,Tomato,Anantapur,2534,49.39,15.62,20.97,76.83
2023-01-31,Tomato,Tirupati,2667,31.6,15.62,20.97,76.83
2023-01-31,Tomato,Guntur,2564,41.6,15.62,20.97,76.83
2023-01-31,Tomato,Vijayawada,2031,32.38,15.62,20.97,76.83
2023-02-01,Tomato,Anantapur,2084,49.02,9.29,28.66,71.22
2023-02-01,Tomato,Guntur,2180,45.64,9.29,28.66,71.22
2023-02-01,Tomato,Vijayawada,2409,56.01,9.29,28.66,71.22
2023-02-01,Tomato,Tirupati,2127,32.34,9.29,28.66,71.22
2023-02-02,Tomato,Vijayawada,2058,48.2,8.31,24.79,75.07
2023-02-02,Tomato,Tirupati,2307,55.28,8.31,24.79,75.07
2023-02-02,Tomato,Guntur,2126,43.79,8.31,24.79,75.07
2023-02-02,Tomato,Anantapur,1789,59.78,8.31,24.79,75.07
2023-02-03,Tomato,Anantapur,2857,50.04,1.42,28.64,78.6
2023-02-03,Tomato,Tirupati,2720,53.3,1.42,28.64,78.6
2023-02-03,Tomato,Vijayawada,2919,46.5,1.42,28.64,78.6
2023-02-03,Tomato,Guntur,2395,51.23,1.42,28.64,78.6
2023-02-04,Tomato,Guntur,2160,52.23,1.27,28.04,94.03
2023-02-04,Tomato,Vijayawada,1729,37.23,1.27,28.04,94.03
2023-02-04,Tomato,Tirupati,2823,50.84,1.27,28.04,94.03
2023-02-04,Tomato,Anantapur,2139,51.12,1.27,28.04,94.03
2023-02-05,Tomato,Tirupati,1681,31.52,5.2,31.69,90.35
2023-02-05,Tomato,Anantapur,2510,44.65,5.2,31.69,90.35
2023-02-05,Tomato,Guntur,1922,58.97,5.2,31.69,90.35
2023-02-05,Tomato,Vijayawada,1985,57.5,5.2,31.69,90.35
2023-02-06,Tomato,Guntur,2958,56.53,14.62,23.7,90.99
2023-02-06,Tomato,Vijayawada,2437,40.18,14.62,23.7,90.99
2023-02-06,Tomato,Tirupati,2354,44.14,14.62,23.7,90.99
2023-02-06,Tomato,Anantapur,2337,37.86,14.62,23.7,90.99
2023-02-07,Tomato,Anantapur,2239,44.3,18.92,27.49,61.24
2023-02-07,Tomato,Guntur,1531,49.3,18.92,27.49,61.24
2023-02-07,Tomato,Vijayawada,2639,30.51,18.92,27.49,61.24
2023-02-07,Tomato,Tirupati,2051,45.3,18.92,27.49,61.24
2023-02-08,Tomato,Tirupati,1832,53.89,0.41,27.13,92.57
2023-02-08,Tomato,Anantapur,1546,47.69,0.41,27.13,92.57
2023-02-08,Tomato,Guntur,1974,35.2,0.41,27.13,92.57
2023-02-08,Tomato,Vijayawada,2507,57.74,0.41,27.13,92.57
2023-02-09,Tomato,Guntur,2188,31.36,1.79,31.33,94.26
2023-02-09,Tomato,Vijayawada,2000,56.34,1.79,31.33,94.26
2023-02-09,Tomato,Tirupati,1578,47.83,1.79,31.33,94.26
2023-02-09,Tomato,Anantapur,2391,52.62,1.79,31.33,94.26
2023-02-10,Tomato,Guntur,2409,45.36,14.51,29.72,72.39
2023-02-10,Tomato,Vijayawada,1798,48.07,14.51,29.72,72.39
2023-02-10,Tomato,Tirupati,2695,54.09,14.51,29.72,72.39
2023-02-10,Tomato,Anantapur,2939,49.65,14.51,29.72,72.39
2023-02-11,Tomato,Anantapur,1506,36.17,11.6,30.54,67.3
2023-02-11,Tomato,Tirupati,1949,31.65,11.6,30.54,67.3
2023-02-11,Tomato,Vijayawada,2125,39.28,11.6,30.54,67.3
2023-02-11,Tomato,Guntur,2356,31.43,11.6,30.54,67.3
2023-02-12,Tomato,Guntur,2923,54.91,3.65,31.35,68.41
2023-02-12,Tomato,Vijayawada,2368,54.32,3.65,31.35,68.41
2023-02-12,Tomato,Tirupati,2266,33.36,3.65,31.35,68.41
2023-02-12,Tomato,Anantapur,1598,48.72,3.65,31.35,68.41
2023-02-13,Tomato,Anantapur,1538,49.94,2.08,32.34,80.56
2023-02-13,Tomato,Guntur,2791,30.06,2.08,32.34,80.56
2023-02-13,Tomato,Vijayawada,2670,55.51,2.08,32.34,80.56
2023-02-13,Tomato,Tirupati,2213,36.1,2.08,32.34,80.56
2023-02-14,Tomato,Tirupati,1624,51.61,0.43,26.47,63.59
2023-02-14,Tomato,Anantapur,2966,53.86,0.43,26.47,63.59
2023-02-14,Tomato,Guntur,2619,56.35,0.43,26.47,63.59
2023-02-14,Tomato,Vijayawada,1801,49.65,0.43,26.47,63.59
2023-02-15,Tomato,Anantapur,2634,46.99,10.7,24.55,70.97
2023-02-15,Tomato,Tirupati,1910,51.57,10.7,24.55,70.97
2023-02-15,Tomato,Vijayawada,2692,59.15,10.7,24.55,70.97
2023-02-15,Tomato,Guntur,2853,56.72,10.7,24.55,70.97
2023-02-16,Tomato,Guntur,2958,51.31,1.7,22.51,76.54
2023-02-16,Tomato,Vijayawada,1979,54.0,1.7,22.51,76.54
2023-02-16,Tomato,Tirupati,1729,43.68,1.7,22.51,76.54
2023-02-16,Tomato,Anantapur,1894,30.96,1.7,22.51,76.54
2023-02-17,Tomato,Tirupati,2311,54.98,10.54,27.15,82.5
2023-02-17,Tomato,Anantapur,2483,37.47,10.54,27.15,82.5
2023-02-17,Tomato,Guntur,1858,45.31,10.54,27.15,82.5
2023-02-17,Tomato,Vijayawada,1726,56.65,10.54,27.15,82.5
2023-02-18,Tomato,Guntur,2094,49.07,4.07,21.21,69.12
2023-02-18,Tomato,Vijayawada,2855,57.7,4.07,21.21,69.12
2023-02-18,Tomato,Tirupati,1858,32.98,4.07,21.21,69.12
2023-02-18,Tomato,Anantapur,2326,54.54,4.07,21.21,69.12
2023-02-19,Tomato,Anantapur,2464,56.08,5.11,23.93,62.08
2023-02-19,Tomato,Guntur,2362,47.01,5.11,23.93,62.08
2023-02-19,Tomato,Vijayawada,2627,38.74,5.11,23.93,62.08
