month,month_name,best_crop,best_price,second_crop,second_price
1,Jan,tomato,2283.2246980560603,potato,1816.1920607167608
2,Feb,tomato,2282.8763647308656,potato,1817.0896538630438
3,Mar,tomato,2283.6369497376777,potato,1818.110117789369
4,Apr,tomato,2284.762128390094,potato,1818.2649905588257
5,May,tomato,2287.0644328044727,potato,1818.8350673257132
6,Jun,tomato,2288.77552112962,potato,1820.303836593663
7,Jul,tomato,2289.05032367289,potato,1820.1052070724515
8,Aug,tomato,2291.2175089367306,paddy,1825.48907159288
9,Sep,tomato,2291.3582456701133,paddy,1830.0193714473633
10,Oct,tomato,2295.270368067812,paddy,1835.141787492403
11,Nov,tomato,2294.1775764307686,paddy,1840.8824277150766
12,Dec,tomato,2295.3734690073484,paddy,1844.9409664975076
