month,tomato,onion,potato,paddy,month_name,best_crop,best_val,second_crop,second_val
1,2283.2246980560603,1622.9956984341013,1816.1920607167608,1790.3770023419866,Jan,tomato,2283.2246980560603,potato,1816.1920607167608
2,2282.8763647308656,1623.2751368978809,1817.0896538630438,1795.4180328838268,Feb,tomato,2282.8763647308656,potato,1817.0896538630438
3,2283.6369497376777,1623.5901285240875,1818.110117789369,1800.7882886217665,Mar,tomato,2283.6369497376777,potato,1818.110117789369
4,2284.762128390094,1625.6421431267502,1818.2649905588257,1805.0728765306817,Apr,tomato,2284.762128390094,potato,1818.2649905588257
5,2287.0644328044727,1626.007209817568,1818.8350673257132,1810.2871835645242,May,tomato,2287.0644328044727,potato,1818.8350673257132
6,2288.77552112962,1626.8168059464283,1820.303836593663,1815.4118786015133,Jun,tomato,2288.77552112962,potato,1820.303836593663
7,2289.05032367289,1628.8735352663882,1820.1052070724515,1820.0994893760937,Jul,tomato,2289.05032367289,potato,1820.1052070724515
8,2291.2175089367306,1628.4405395217395,1821.278051314059,1825.48907159288,Aug,tomato,2291.2175089367306,paddy,1825.48907159288
9,2291.3582456701133,1629.868891367103,1822.1101282916202,1830.0193714473633,Sep,tomato,2291.3582456701133,paddy,1830.0193714473633
10,2295.270368067812,1631.679273644017,1822.3509579587987,1835.141787492403,Oct,tomato,2295.270368067812,paddy,1835.141787492403
11,2294.1775764307686,1631.4910029422686,1823.2957371848122,1840.8824277150766,Nov,tomato,2294.1775764307686,paddy,1840.8824277150766
12,2295.3734690073484,1632.7634164370727,1824.1630940389662,1844.9409664975076,Dec,tomato,2295.3734690073484,paddy,1844.9409664975076
