ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,arrivals,arrivals_lower,arrivals_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rainfall,rainfall_lower,rainfall_upper,temperature,temperature_lower,temperature_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-01-01,1624.2270494141521,1544.3241685718497,1716.6709174980915,1576.9058052095145,1668.3408433235934,12.490625774078836,12.490625774078836,12.490625774078836,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,14.857992857530235,14.857992857530235,14.857992857530235,0.0,0.0,0.0,1636.717675188231
2026-01-02,1624.258857381954,1547.6327666261577,1719.406242481216,1576.7590831484404,1668.5391036558838,8.04101673610668,8.04101673610668,8.04101673610668,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,10.408383819558077,10.408383819558077,10.408383819558077,0.0,0.0,0.0,1632.2998741180606
2026-01-03,1624.290665349756,1523.3807088375756,1696.5485504886933,1576.6123610873665,1668.7373639881744,-7.207949583045687,-7.207949583045687,-7.207949583045687,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.840582499594289,-4.840582499594289,-4.840582499594289,0.0,0.0,0.0,1617.0827157667102
2026-01-04,1624.3224733175578,1522.36002834413,1699.5962189045692,1576.46601152788,1668.935624320465,-12.478161561400192,-12.478161561400192,-12.478161561400192,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-10.110794477948794,-10.110794477948794,-10.110794477948794,0.0,0.0,0.0,1611.8443117561576
2026-01-05,1624.3542812853598,1530.7518701147603,1707.2796615131501,1576.3200344699808,1669.03013361208,-7.242086605562228,-7.242086605562228,-7.242086605562228,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.874719522110829,-4.874719522110829,-4.874719522110829,0.0,0.0,0.0,1617.1121946797975
2026-01-06,1624.3860892531618,1528.449500809535,1705.6034533832647,1576.1740574120815,1669.1164402954653,-6.7054992258109,-6.7054992258109,-6.7054992258109,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.338132142359502,-4.338132142359502,-4.338132142359502,0.0,0.0,0.0,1617.680590027351
2026-01-07,1624.4178972209636,1533.1111189140333,1710.332013577782,1576.0280803541823,1669.20274697885,-3.4695151185122297,-3.4695151185122297,-3.4695151185122297,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-1.1021480350608315,-1.1021480350608315,-1.1021480350608315,0.0,0.0,0.0,1620.9483821024514
2026-01-08,1624.4497051887654,1548.1109104312147,1722.3415447724929,1575.882103296283,1669.2890536622351,12.490625774086329,12.490625774086329,12.490625774086329,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,14.857992857537726,14.857992857537726,14.857992857537726,0.0,0.0,0.0,1636.9403309628517
2026-01-09,1624.4815131565672,1542.9629583504911,1711.0328893688302,1575.7361262383838,1669.37536034562,8.041016736093201,8.041016736093201,8.041016736093201,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,10.4083838195446,10.4083838195446,10.4083838195446,0.0,0.0,0.0,1632.5225298926605
2026-01-10,1624.5133211243692,1524.5139295814602,1696.5368543523591,1575.636644593794,1669.514819176351,-7.207949583057569,-7.207949583057569,-7.207949583057569,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.840582499606171,-4.840582499606171,-4.840582499606171,0.0,0.0,0.0,1617.3053715413116
2026-01-11,1624.545129092171,1525.8121732451393,1698.1475985067711,1575.6157736842074,1669.6826565089211,-12.478161561403603,-12.478161561403603,-12.478161561403603,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-10.110794477952204,-10.110794477952204,-10.110794477952204,0.0,0.0,0.0,1612.0669675307674
