ds,yhat,yhat_lower,yhat_upper
2023-01-01,1600.831329772229,1532.624999244203,1673.8811833833233
2023-01-02,1606.383554841385,1527.2042379217532,1678.521112185914
2023-01-03,1606.267447087583,1544.7815223688058,1682.7763103792895
2023-01-04,1610.356153075849,1539.4109940861094,1679.359832149224
2023-01-05,1627.5829563253767,1553.0982262951366,1697.1687242797561
2023-01-06,1621.7355397276942,1546.6990175631483,1690.9879174988253
2023-01-07,1607.160033917938,1536.3951650580107,1680.7843791987286
2023-01-08,1601.3062335102866,1531.1942327802894,1670.7758204704508
2023-01-09,1608.1596478614376,1534.213779106822,1676.442416679105
2023-01-10,1604.3425409904034,1532.2357928955169,1677.3298563265569
2023-01-11,1610.7777393920387,1544.7055983084485,1681.7053739697358
2023-01-12,1623.4668763297766,1553.389278190234,1695.9616629925342
2023-01-13,1614.8253907357855,1541.7353637230706,1686.6882080465707
2023-01-14,1600.3771877346192,1534.3241078265787,1671.9447409325528
2023-01-15,1598.777772942069,1526.3953397878386,1675.178717855564
2023-01-16,1603.0786854804662,1529.1605571809016,1675.9263058771744
2023-01-17,1604.290992786664,1532.6130132090766,1676.357729732414
2023-01-18,1607.3616154292527,1542.0659711823678,1680.1424987557086
2023-01-19,1615.692688682963,1544.0508829285382,1692.8011419735806
2023-01-20,1618.6773064565398,1547.021151092781,1694.4615419449487
2023-01-21,1597.967704992503,1521.6433974426839,1670.8505827947065
2023-01-22,1597.0637903896575,1524.1292536683613,1669.3183336324662
2023-01-23,1602.2668122487157,1531.157857760919,1672.7578113101185
2023-01-24,1607.6051670392828,1531.2509725674677,1680.0190044518567
2023-01-25,1605.481559411878,1534.6820975424846,1676.3080390669052
2023-01-26,1615.1391318084557,1544.4439895263386,1686.0321143301755
2023-01-27,1616.966522577927,1546.3477161691928,1690.4437773336726
2023-01-28,1599.3408340477556,1520.0585968216333,1671.0016710625162
2023-01-29,1594.0875797280808,1520.1130603975273,1661.3783665678682
2023-01-30,1601.8827512831476,1527.5502384153062,1668.5413603529869
2023-01-31,1601.6592898611243,1528.9512915829766,1668.3151761358308
2023-02-01,1601.8543644429674,1532.4818438860457,1670.9702719390675
2023-02-02,1618.9386340638825,1554.7330093284957,1689.4189291791934
2023-02-03,1616.8982634117165,1549.5140472545204,1689.6534784498394
2023-02-04,1602.0145721971573,1526.7152632366294,1668.6156396234992
2023-02-05,1594.959926795272,1520.211638498766,1668.264092530756
2023-02-06,1599.9709467296414,1526.0851075135292,1669.375130948082
2023-02-07,1595.9150902593142,1524.9220926202227,1669.2235903510607
2023-02-08,1604.8065111423007,1540.227412742936,1680.1513900300401
2023-02-09,1616.844678403374,1544.491198869388,1684.7024908497015
2023-02-10,1610.856503872643,1537.0172144518363,1682.6888225830849
2023-02-11,1597.5848106986164,1528.6409051998535,1664.101524599334
2023-02-12,1593.9970710386942,1525.9680352816088,1665.9406535276735
2023-02-13,1599.0317171054562,1528.1405235438106,1666.618254005583
2023-02-14,1599.8727417114353,1527.6357700955145,1667.8149837007636
2023-02-15,1601.9644332595046,1535.0110983556779,1673.9573842230805
2023-02-16,1618.1058509704912,1548.2794511870152,1691.6933747169282
2023-02-17,1612.2813046926115,1542.2557111338335,1683.5812450735107
2023-02-18,1598.7072927180718,1521.2839312039323,1671.628990227261
2023-02-19,1591.2766530120584,1521.6494764613406,1664.3855675279767
2023-02-20,1597.4364797370622,1522.7792317457183,1664.4130952103949
2023-02-21,1599.172143373262,1530.0437559817497,1669.9414543290902
2023-02-22,1601.9776913258283,1526.6589180598714,1677.9548537214705
2023-02-23,1612.8448193528145,1538.656127105928,1683.429080172396
2023-02-24,1608.5370689276258,1537.9128262897832,1678.485418595798
2023-02-25,1597.1661407570994,1523.0512863600045,1667.884384170326
2023-02-26,1592.2543680369797,1518.5504508608658,1669.1801030483775
2023-02-27,1596.827079840695,1524.5693993652517,1669.9365821636118
2023-02-28,1596.0036249389314,1519.178118990965,1664.974967422208
2023-03-01,1596.074464221796,1518.0763290119,1667.6596112006857
2023-03-02,1615.497800876481,1544.8479048565737,1682.0114898794648
2023-03-03,1610.4568526857452,1536.9933485783063,1685.4823975189483
2023-03-04,1593.264391084442,1519.3558155925678,1663.4978902573816
2023-03-05,1591.0224587440864,1518.2395099712855,1662.1886335756542
2023-03-06,1590.2253323294453,1523.7977054273474,1662.1329364926319
2023-03-07,1594.9578582262166,1521.01701152443,1663.3453621062488
2023-03-08,1594.7782109019415,1522.314331998382,1667.7488952164633
2023-03-09,1613.0845869176458,1539.983839076161,1685.1729211023767
2023-03-10,1606.8512739570883,1533.3268908310697,1673.0310494463668
2023-03-11,1596.0676958211934,1522.6054732007071,1668.0922925089083
2023-03-12,1588.0817195611571,1514.5427753462416,1661.9028228682566
2023-03-13,1591.855224690357,1518.579800684118,1660.2119330660119
2023-03-14,1595.4849994873625,1518.4443060066726,1665.302897901291
2023-03-15,1599.2396702646674,1525.1850636307072,1666.5534346843542
2023-03-16,1612.7769485111373,1544.8277499984117,1687.1873739597786
2023-03-17,1604.8438510573626,1533.0987540892609,1674.6089230831983
2023-03-18,1592.717615911059,1521.4613933949317,1661.0410766825019
2023-03-19,1588.8373490674855,1515.5514881057643,1661.2400172681166
2023-03-20,1594.3173637626046,1520.4101131111427,1660.5884005293917
2023-03-21,1592.3998823907507,1521.7903031066535,1665.238988237576
2023-03-22,1595.0929629839277,1522.7312011354122,1667.0250819686019
2023-03-23,1608.2959562964684,1538.9782907587733,1680.5355495792528
2023-03-24,1610.5071145169147,1537.0986127375995,1683.975109948475
2023-03-25,1591.7228833424608,1517.9050946790253,1664.209371977095
2023-03-26,1583.7176842916006,1514.5455072395184,1656.410530701014
2023-03-27,1592.7960177515001,1522.5439699818833,1663.2027931452633
2023-03-28,1592.1089306373103,1521.7407141448239,1664.6340519258429
2023-03-29,1592.6408073263578,1521.0692634746733,1664.0953302227826
2023-03-30,1614.1217359090972,1539.71531642916,1684.3340827865068
2023-03-31,1608.6090112578813,1538.6336103737713,1679.3763050601015
2023-04-01,1587.652921429566,1521.031337646706,1656.3870590574854
2023-04-02,1589.080172396809,1516.9485868642892,1660.9286230203377
2023-04-03,1591.2171493477238,1520.953612862882,1661.9421525192397
2023-04-04,1589.4974677290616,1522.7908251490392,1665.073947486954
2023-04-05,1591.0619051910408,1516.6210633500393,1664.9489786967924
2023-04-06,1612.375895456499,1541.9344479258518,1681.1556353621133
2023-04-07,1605.6830334056733,1532.7755345990463,1675.4855399288992
2023-04-08,1587.7765112516672,1520.3890101258742,1656.3558384464452
2023-04-09,1585.0388554671376,1505.5561725221146,1656.3587628354085
2023-04-10,1589.256535259713,1517.253266029103,1660.22851856553
2023-04-11,1587.7068496558031,1514.7321857116433,1657.6370677135985
2023-04-12,1597.1182953336915,1529.728091397965,1671.0610259831376
2023-04-13,1608.2916859441127,1538.0415240408174,1682.2186443570563
2023-04-14,1601.028810456183,1526.71118055787,1673.6822254085378
2023-04-15,1585.2994945171865,1511.1678292473057,1656.8321021207328
2023-04-16,1586.027252511818,1512.464639222043,1655.247336771137
2023-04-17,1588.4195632739263,1516.6420023875635,1659.8876428981855
2023-04-18,1595.573669644408,1517.7091837596452,1662.3531871697771
2023-04-19,1594.989350623717,1521.1502208852296,1663.709237228044
2023-04-20,1611.020575437535,1544.9480759468022,1686.013159776688
2023-04-21,1601.630674928473,1528.5885413184512,1670.0832891332386
2023-04-22,1588.5814477725555,1517.9023042502395,1664.3796972100317
2023-04-23,1582.8139641570046,1509.842600766181,1652.420035155693
2023-04-24,1589.7679248688253,1515.1366228050233,1663.293022739379
2023-04-25,1591.5634570160062,1516.5080658142713,1666.6001181184936
2023-04-26,1594.6349319913097,1520.9296061689229,1663.47025059169
2023-04-27,1611.015589572187,1539.9928593234145,1682.1771854821168
2023-04-28,1607.9991484931777,1533.6022210156723,1679.360546149823
2023-04-29,1587.6425162527926,1517.9260618671326,1662.573570856299
2023-04-30,1579.845709391436,1507.855882615449,1646.9177610218235
2023-05-01,1588.9456190826475,1517.5988300452893,1657.6934740998558
2023-05-02,1589.7037659262753,1519.3535519874338,1658.7824500913166
2023-05-03,1593.0210724260762,1527.9514906833092,1662.9054488658492
2023-05-04,1607.4479255664096,1533.5187814299316,1677.8388414205517
2023-05-05,1603.3877892085814,1528.468634411137,1672.0350209483975
2023-05-06,1586.3340184795254,1511.946185166146,1658.519926296481
2023-05-07,1581.616078348789,1513.8516167835921,1655.193419703974
2023-05-08,1589.549380919741,1519.1254425696588,1659.22200724456
2023-05-09,1587.3269132715332,1512.5507921710914,1657.7574204579255
2023-05-10,1589.4171902574926,1520.1629045383263,1657.681558042735
2023-05-11,1611.5933593247867,1538.5563843435505,1679.737626068943
2023-05-12,1603.6208822015867,1532.9040592311187,1674.015616476623
2023-05-13,1586.002405792984,1514.3302295059545,1651.366242828814
2023-05-14,1584.4351133900516,1511.1243816068632,1655.5214360894518
2023-05-15,1590.348694786431,1514.6422627536217,1661.3067753050354
2023-05-16,1592.2889174886318,1522.7958574098118,1660.944876083118
2023-05-17,1594.0228273038506,1523.8936733836579,1666.5374058685063
2023-05-18,1605.4415805789858,1531.5764770294857,1674.9368073478458
2023-05-19,1604.1534120367517,1533.7570751034252,1679.1327992512352
2023-05-20,1589.2541346092244,1517.843261545945,1659.553539246779
2023-05-21,1582.499529397964,1508.4643939809966,1654.6101784358273
2023-05-22,1587.7786697354895,1517.5478615788932,1665.651867769938
2023-05-23,1588.626534071548,1517.7186387811873,1660.401513723701
2023-05-24,1589.5000344260511,1521.5710065135102,1657.7266641131268
2023-05-25,1606.977759046458,1537.557338513381,1676.97737795544
2023-05-26,1603.7210511553212,1530.7381176214553,1675.6107857982986
2023-05-27,1590.7481946693588,1518.3991929638037,1660.3381290888358
2023-05-28,1580.9149087535807,1511.1875835093128,1654.154736375527
2023-05-29,1588.4132967103137,1516.7181443885,1659.6006278852033
2023-05-30,1595.5258353683141,1525.3884685965113,1670.1643710200942
2023-05-31,1590.3373499184665,1521.9492671674248,1663.6498691032705
2023-06-01,1610.9752554596312,1539.9203381499397,1681.916655459109
2023-06-02,1604.3268901781867,1532.1370089642678,1680.78736688436
2023-06-03,1590.84803016242,1518.4829837313898,1662.0150432104958
2023-06-04,1586.9588959619125,1511.4838287044586,1660.8909468665759
2023-06-05,1589.9085382073383,1523.1894280457045,1663.4725404699504
2023-06-06,1591.637514358403,1519.9229232900916,1663.9178053397911
2023-06-07,1592.6795057877157,1517.899111793317,1662.5390930870092
2023-06-08,1607.3470054932545,1536.8093261505442,1681.165645828991
2023-06-09,1605.854583576263,1532.8441710040847,1677.2547591273035
2023-06-10,1589.6049262144757,1520.5579867900951,1658.973566182836
2023-06-11,1584.1728242778072,1514.527228583915,1657.1788273807254
2023-06-12,1588.4477518118958,1525.352903263337,1662.2082998915837
2023-06-13,1595.1249258201299,1524.5363575041204,1664.1704288072183
2023-06-14,1594.5344652886013,1523.0956495570633,1661.484061386519
2023-06-15,1606.4898765741086,1533.7080527209596,1684.3408261372115
2023-06-16,1602.0000058249445,1531.9439430835741,1668.349531713146
2023-06-17,1586.7684254922358,1511.1544816790408,1658.5095618951773
2023-06-18,1585.7163034492185,1510.1500099551133,1656.2764651193402
2023-06-19,1589.6992516264893,1514.640531176118,1664.3511895094919
2023-06-20,1588.6890666313914,1515.4706211105197,1655.5431534862323
2023-06-21,1587.8001067712244,1518.1146221228332,1664.3620381143658
