ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,arrivals,arrivals_lower,arrivals_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rainfall,rainfall_lower,rainfall_upper,temperature,temperature_lower,temperature_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-01-01,1792.187249825687,1702.267522725496,1881.0067894115693,1739.0720048605558,1845.478931637115,0.6328200264903201,0.6328200264903201,0.6328200264903201,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,4.698860921443758,4.698860921443758,4.698860921443758,0.0,0.0,0.0,1792.8200698521773
2026-01-02,1792.3512233976667,1703.6944249256458,1888.863337900732,1739.1401239349846,1845.7592792171608,-3.53565027907556,-3.53565027907556,-3.53565027907556,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,0.5303906158778781,0.5303906158778781,0.5303906158778781,0.0,0.0,0.0,1788.8155731185911
2026-01-03,1792.5151969696462,1684.4786788072383,1863.6697404330578,1739.182616933783,1846.0298298769937,-15.613407654085282,-15.613407654085282,-15.613407654085282,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,-11.547366759131846,-11.547366759131846,-11.547366759131846,0.0,0.0,0.0,1776.901789315561
2026-01-04,1792.6791705416258,1710.1543510980966,1890.2717148448658,1739.2251099325808,1846.3003417193192,7.866750161314037,7.866750161314037,7.866750161314037,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,11.932791056267478,11.932791056267478,11.932791056267478,0.0,0.0,0.0,1800.5459207029398
2026-01-05,1792.8431441136056,1704.2121896878773,1885.5721969096767,1739.267602931379,1846.570853561645,0.07025131406534676,0.07025131406534676,0.07025131406534676,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,4.136292209018785,4.136292209018785,4.136292209018785,0.0,0.0,0.0,1792.913395427671
2026-01-06,1793.007117685585,1702.9252859303922,1875.1500652907823,1739.3100959301776,1846.8041750448976,-3.6110278592043765,-3.6110278592043765,-3.6110278592043765,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,0.455013035749062,0.455013035749062,0.455013035749062,0.0,0.0,0.0,1789.3960898263806
2026-01-07,1793.1710912575645,1693.623947970714,1872.4953125050602,1739.3525889289756,1847.0845979013538,-14.272021974042424,-14.272021974042424,-14.272021974042424,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,-10.205981079088986,-10.205981079088986,-10.205981079088986,0.0,0.0,0.0,1778.899069283522
2026-01-08,1793.3350648295443,1697.9076193501294,1889.515578501963,1739.3950819277736,1847.3650207578103,0.6328200265287017,0.6328200265287017,0.6328200265287017,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,4.69886092148214,4.69886092148214,4.69886092148214,0.0,0.0,0.0,1793.967884856073
2026-01-09,1793.4990384015236,1702.3034011928264,1879.4244324307735,1739.4375749265719,1847.6525122448093,-3.5356502791176196,-3.5356502791176196,-3.5356502791176196,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,0.5303906158358184,0.5303906158358184,0.5303906158358184,0.0,0.0,0.0,1789.963388122406
2026-01-10,1793.6630119735032,1686.197856336427,1870.084810901195,1739.4800679253701,1847.9470723623508,-15.613407654089157,-15.613407654089157,-15.613407654089157,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,-11.54736675913572,-11.54736675913572,-11.54736675913572,0.0,0.0,0.0,1778.0496043194141
2026-01-11,1793.826985545483,1714.2049681706571,1890.3019717527338,1739.5225609241684,1848.2374522629973,7.866750161312989,7.866750161312989,7.866750161312989,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,11.932791056266426,11.932791056266426,11.932791056266426,0.0,0.0,0.0,1801.693735706796
2026-01-12,1793.9909591174626,1703.6037066430229,1887.1458941722183,1739.5650539229664,1848.4801615902754,0.07025131405541253,0.07025131405541253,0.07025131405541253,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,4.136292209008851,4.136292209008851,4.136292209008851,0.0,0.0,0.0,1794.061210431518
2026-01-13,1794.1549326894421,1698.9310885137472,1874.783909599903,1739.6075469217647,1848.7079783452425,-3.6110278592197966,-3.6110278592197966,-3.6110278592197966,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,0.45501303573364105,0.45501303573364105,0.45501303573364105,0.0,0.0,0.0,1790.5439048302223
2026-01-14,1794.3189062614217,1688.9856675948927,1874.2226061666174,1739.650039920563,1848.9342945860044,-14.272021974064574,-14.272021974064574,-14.272021974064574,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,-10.205981079111135,-10.205981079111135,-10.205981079111135,0.0,0.0,0.0,1780.0468842873572
