ds,yhat,yhat_lower,yhat_upper
2023-01-01,1679.6298930408234,1609.8331052128196,1751.8474281976276
2023-01-02,1656.61650759143,1583.2908940748205,1728.630993317389
2023-01-03,1649.8385548953024,1581.8821476727117,1723.1978012454879
2023-01-04,1645.4595049590012,1573.1237533255937,1715.1442328678022
2023-01-05,1656.245991302386,1581.8393629313405,1722.5570269099294
2023-01-06,1655.1263435760252,1578.7457493759673,1725.2700773017832
2023-01-07,1641.5923177454104,1570.8710168623347,1710.8702840509234
2023-01-08,1668.7292679619084,1594.2378172296255,1743.4457757254622
2023-01-09,1652.5830162863447,1583.1717170207364,1726.6141160307568
2023-01-10,1662.4266390399043,1589.5826541932483,1731.585424123924
2023-01-11,1649.2535765985565,1575.5570578200288,1722.9305788105069
2023-01-12,1657.9253900681845,1583.5441362278698,1729.0691971069798
2023-01-13,1663.0832400220468,1592.3720941200402,1733.344126539654
2023-01-14,1642.4057709358672,1573.0868467495607,1712.9112749152803
2023-01-15,1664.339387720333,1596.1959160048423,1739.0969288381204
2023-01-16,1660.6118872885625,1584.8261783229711,1732.1707695442321
2023-01-17,1653.2361676351923,1584.2014787223784,1728.4342875414213
2023-01-18,1652.5177297150017,1578.6852798865273,1724.9390437363895
2023-01-19,1664.4896785984245,1591.4845438092952,1727.3446167921165
2023-01-20,1662.028953131906,1591.4877724674172,1736.0743612117678
2023-01-21,1646.186623412676,1572.1759895332593,1717.9873346636034
2023-01-22,1666.8057199350758,1591.7097733206485,1732.1741580014802
2023-01-23,1663.563403425577,1591.9524226466592,1728.8544073044377
2023-01-24,1654.6384427048142,1586.3683699138116,1728.683766258172
2023-01-25,1646.5279249693167,1572.7671707987715,1718.7891244199884
2023-01-26,1664.3521417041206,1598.953710021584,1738.836735777514
2023-01-27,1656.2975723087152,1585.4726476128992,1725.0852778027636
2023-01-28,1650.1019716797755,1576.1788606936877,1716.2779555182142
2023-01-29,1665.0696865169634,1589.7523471667437,1738.5107135829248
2023-01-30,1658.1479798373998,1589.1603109353812,1736.0294366453752
2023-01-31,1659.5155039132537,1582.1960024105213,1731.3040150811262
2023-02-01,1643.9885296888644,1573.3883429457132,1722.7594769900754
2023-02-02,1655.1133434387352,1582.079111596392,1731.9284538233644
2023-02-03,1650.9569694999727,1578.4879805302257,1716.5021712225337
2023-02-04,1637.988895325965,1569.7274072132077,1705.7331667924382
2023-02-05,1663.0361196620597,1594.012015985757,1739.848854415867
2023-02-06,1662.5731397673385,1589.8386273184299,1732.8175921069083
2023-02-07,1661.6982795652052,1591.2050527577476,1729.1628880482797
2023-02-08,1637.314107538635,1561.9889603014806,1706.5784023797303
2023-02-09,1651.8484177622763,1583.476649951519,1725.6333710067993
2023-02-10,1658.5365486908775,1584.6544899814878,1728.8910895309866
2023-02-11,1646.8492949619426,1572.9214769998973,1718.8785442575133
2023-02-12,1661.062428200115,1591.4063458534974,1733.8929553109397
2023-02-13,1651.3910534450438,1575.0249071979379,1729.9295028736285
2023-02-14,1645.7965234732496,1576.701862073512,1718.5772292005543
2023-02-15,1644.0308573861123,1570.422712894445,1712.432502699559
