ds,yhat
2023-01-01,1559.0
2023-01-01,1761.0
2023-01-01,1738.0
2023-01-01,1786.0
2023-01-02,1715.0
2023-01-02,1645.0
2023-01-02,1545.0
2023-01-02,1843.0
2023-01-03,1492.0
2023-01-03,1497.0
2023-01-03,1732.0
2023-01-03,1765.0
2023-01-04,1777.0
2023-01-04,1543.0
2023-01-04,1763.0
2023-01-04,1603.0
2023-01-05,1672.0
2023-01-05,1469.0
2023-01-05,1753.0
2023-01-05,1472.0
2023-01-06,1528.0
2023-01-06,1783.0
2023-01-06,1610.0
2023-01-06,1760.0
2023-01-07,1670.0
2023-01-07,1724.0
2023-01-07,1712.0
2023-01-07,1607.0
2023-01-08,1569.0
2023-01-08,1598.0
2023-01-08,1482.0
2023-01-08,1472.0
2023-01-09,1790.0
2023-01-09,1561.0
2023-01-09,1734.0
2023-01-09,1821.0
2023-01-10,1507.0
2023-01-10,1787.0
2023-01-10,1498.0
2023-01-10,1551.0
2023-01-11,1533.0
2023-01-11,1536.0
2023-01-11,1563.0
2023-01-11,1682.0
2023-01-12,1673.0
2023-01-12,1670.0
2023-01-12,1494.0
2023-01-12,1773.0
2023-01-13,1559.0
2023-01-13,1753.0
2023-01-13,1807.0
2023-01-13,1696.0
2023-01-14,1843.0
2023-01-14,1542.0
2023-01-14,1458.0
2023-01-14,1539.0
2023-01-15,1702.0
2023-01-15,1607.0
2023-01-15,1462.0
2023-01-15,1750.0
2023-01-16,1824.0
2023-01-16,1604.0
2023-01-16,1827.0
2023-01-16,1576.0
2023-01-17,1557.0
2023-01-17,1565.0
2023-01-17,1757.0
2023-01-17,1581.0
2023-01-18,1726.0
2023-01-18,1681.0
2023-01-18,1621.0
2023-01-18,1764.0
2023-01-19,1717.0
2023-01-19,1842.0
2023-01-19,1637.0
2023-01-19,1455.0
2023-01-20,1562.0
2023-01-20,1640.0
2023-01-20,1591.0
2023-01-20,1680.0
2023-01-21,1782.0
2023-01-21,1812.0
2023-01-21,1650.0
2023-01-21,1749.0
2023-01-22,1826.0
2023-01-22,1655.0
2023-01-22,1688.0
2023-01-22,1822.0
2023-01-23,1767.0
2023-01-23,1489.0
2023-01-23,1650.0
2023-01-23,1828.0
2023-01-24,1719.0
2023-01-24,1737.0
2023-01-24,1553.0
2023-01-24,1622.0
2023-01-25,1792.0
2023-01-25,1791.0
2023-01-25,1815.0
2023-01-25,1644.0
2023-01-26,1704.0
2023-01-26,1775.0
2023-01-26,1663.0
2023-01-26,1604.0
2023-01-27,1733.0
2023-01-27,1479.0
