month,month_name,days,yhat_mean,yhat_std,yhat_low,yhat_high
1,Jan,31,1797.7443379189544,7.803345865531653,1706.6199195351571,1889.319792925444
2,Feb,28,1802.7853684607946,7.772491797374528,1711.379292869186,1896.3046284975078
3,Mar,31,1808.1556241987344,7.898677625392523,1713.5747685558433,1904.625456832634
4,Apr,30,1812.4402121076496,8.086904531402679,1715.7059425069538,1910.3413167678834
5,May,31,1817.6545191414918,8.233603053804183,1717.305292962299,1917.0988150205117
6,Jun,30,1822.779214178481,7.854457808392749,1720.7009075127019,1927.3631414670213
7,Jul,31,1827.4668249530614,7.9724514168245815,1722.2082298140976,1933.2776714058534
8,Aug,31,1832.856407169848,8.312223262169082,1725.4750914649924,1941.437058513511
9,Sep,30,1837.3867070243311,7.975516704896642,1726.6509254913074,1948.2163523107824
10,Oct,31,1842.5091230693708,7.8033458655375085,1727.2213473620711,1957.67055619157
11,Nov,30,1848.2497632920445,8.021119221360363,1729.3086677831375,1964.9573024294982
12,Dec,30,1852.3083020744755,7.9755167049111275,1731.6221230313458,1972.1833397555674
