ds,yhat,yhat_lower,yhat_upper
2023-01-01,1800.612614721649,1724.4090301131039,1869.5617533638235
2023-01-02,1800.4842292638752,1717.1097112960679,1875.586439937121
2023-01-03,1808.1147582480983,1729.5504492125963,1884.3758845110206
2023-01-04,1795.5141688648346,1718.302945236628,1866.0442837191104
2023-01-05,1796.132673646604,1719.2966703062502,1870.5470417656393
2023-01-06,1792.410853769742,1718.7836953369124,1864.62781050936
2023-01-07,1797.839668852808,1725.9478538480325,1866.402315320165
2023-01-08,1792.9856143574439,1714.543685928456,1864.037377484149
2023-01-09,1801.107235837199,1728.2146470499922,1874.5100484900183
2023-01-10,1814.6731136334067,1740.5548826613554,1886.4157758231115
2023-01-11,1795.7937138629823,1723.168740566995,1871.0510469845863
2023-01-12,1796.8939977906255,1721.406135330607,1874.2283482941014
2023-01-13,1795.741061506069,1720.0011881033968,1869.0513346617008
2023-01-14,1803.0590271841697,1730.1157775366498,1877.3575988739412
2023-01-15,1795.2434287827682,1717.0249051518695,1872.870262388336
2023-01-16,1804.8601463957252,1731.0093628786908,1879.3199348558448
2023-01-17,1806.2041258032268,1729.736428414463,1886.0383948441124
2023-01-18,1803.4778017337558,1725.3952888451934,1879.4774653305421
2023-01-19,1803.8962873280739,1725.1382731441872,1878.6239768984576
2023-01-20,1795.1456642979372,1720.0940451709812,1866.207519963967
2023-01-21,1803.7577545110364,1724.7661119541901,1882.95920303226
2023-01-22,1797.5608377243898,1721.7567380775054,1876.6417528186741
2023-01-23,1807.4766387879056,1726.6706159329292,1875.6529795791098
2023-01-24,1809.736735295221,1742.6058944210602,1881.4573487848008
2023-01-25,1799.857270363374,1724.382873061139,1873.7355081729827
2023-01-26,1803.4971641666482,1730.444050507251,1880.2435457042322
2023-01-27,1795.0595380499358,1718.6170521276642,1868.9580638942025
2023-01-28,1809.9048698131887,1737.7844621476854,1888.1605935499238
2023-01-29,1798.6380065617238,1726.1685093912997,1877.015971026217
2023-01-30,1806.8768877988612,1733.8960326589292,1880.7026805862556
2023-01-31,1817.52473315932,1735.5139413001966,1891.1202225171787
2023-02-01,1798.2599291030901,1724.7686426999583,1872.8327679836204
2023-02-02,1800.4346422775243,1732.4132170462542,1878.8664228956648
2023-02-03,1790.6906726738423,1717.5439449992014,1866.2613019882638
2023-02-04,1799.131775729134,1725.1689574199675,1873.8740958300477
2023-02-05,1795.1824735278813,1726.046898713161,1873.2662412731231
2023-02-06,1810.807574486204,1740.3056826577779,1881.5471015441951
2023-02-07,1818.4627334717388,1745.3492001256332,1895.1090743407392
2023-02-08,1794.0204661394605,1717.9366270795513,1872.9591244182322
2023-02-09,1797.5836143291376,1722.3875250737465,1869.5918031319031
2023-02-10,1797.6030823044293,1722.771578413926,1869.9743935411286
2023-02-11,1805.2015533776112,1731.2038390423184,1881.8453799051026
2023-02-12,1795.4494192796994,1718.0975606146994,1871.502105477839
2023-02-13,1803.8218777355448,1727.6462247875927,1879.8821811282912
2023-02-14,1809.9188318731403,1732.0129866214465,1884.960361850026
2023-02-15,1800.947762759204,1722.6792112134508,1876.8544076865296
2023-02-16,1799.437849890439,1722.6552636798765,1875.335140487732
2023-02-17,1797.602636828747,1723.0689390184175,1878.0909951831254
2023-02-18,1803.2230530106856,1724.4058900510784,1876.652219627137
2023-02-19,1798.6110515863988,1719.4928613375648,1869.531699184923
2023-02-20,1812.9841675147386,1734.5129330463242,1891.6804854483444
2023-02-21,1811.1018406815103,1740.7859964776408,1882.2870074045525
2023-02-22,1796.3397684462138,1718.1265783235242,1873.20781515307
2023-02-23,1802.7819316536638,1729.1514946556956,1879.0720483330397
2023-02-24,1796.9907718150364,1720.7020136868018,1867.915319159752
2023-02-25,1806.152536973578,1735.9026430128392,1883.895322502905
2023-02-26,1797.8470952493467,1723.3725833484948,1874.5805151393845
2023-02-27,1807.2141931571755,1732.1327271615744,1887.4509628115354
2023-02-28,1815.9548481363292,1747.749142467746,1893.2109501424527
2023-03-01,1795.9384394960648,1720.2397404524313,1868.8048114671806
2023-03-02,1799.1466068704622,1725.9355526396648,1872.6221731263636
2023-03-03,1800.9218648698202,1725.8376823787603,1879.9817968847046
2023-03-04,1803.7615768029855,1725.5410875843365,1873.0609050330474
2023-03-05,1803.7661543948027,1729.93015599379,1879.1869719574402
2023-03-06,1810.8710580780075,1735.4242821437895,1883.584112233082
2023-03-07,1818.2239151508675,1746.0313759208407,1886.6227606485465
2023-03-08,1806.8042699351874,1735.3154301820796,1878.3485173528802
2023-03-09,1810.3697257583963,1740.298907213595,1884.8038355053743
2023-03-10,1800.7292301788718,1724.3084579969686,1877.772318188692
2023-03-11,1804.8977955033845,1732.796839070266,1875.7124468429301
2023-03-12,1798.5024225161758,1722.851629269466,1876.465217973856
2023-03-13,1809.1436846456352,1737.0037453969467,1887.390781891199
2023-03-14,1811.6492279558665,1737.1005659667157,1885.6082001361606
2023-03-15,1805.4669638520697,1729.2094133085882,1881.2263841270844
2023-03-16,1808.3531391229876,1729.4247843851556,1889.3959954928393
2023-03-17,1803.4682112325672,1726.417729652188,1883.5713507567575
2023-03-18,1810.195101952944,1737.8681948969352,1885.5836316373548
2023-03-19,1797.68898294774,1723.1833027442478,1874.9552508571608
2023-03-20,1809.8962786076022,1739.3536446463227,1884.142532270424
2023-03-21,1815.3858121036048,1742.3431581738637,1887.8182688258967
2023-03-22,1799.170872572936,1722.042432560743,1875.0624916900658
2023-03-23,1808.6781660431323,1733.6996161587213,1882.915938858437
2023-03-24,1799.342047103558,1727.0608124827681,1873.7660138927624
2023-03-25,1811.8232415232285,1735.1306706830205,1888.1162103657916
2023-03-26,1804.996905083733,1736.2816994924788,1878.1573353444503
2023-03-27,1810.070985706963,1731.5539183334502,1882.2947575714022
2023-03-28,1821.3489906076156,1746.1291535760158,1895.6073099544308
2023-03-29,1803.2004262230541,1726.180247842805,1882.4279882148512
2023-03-30,1802.7305331232235,1729.9314560693049,1876.6570765764
2023-03-31,1796.521914511872,1718.8079922850013,1862.672563420584
2023-04-01,1810.389509697287,1730.5773580246155,1885.839228263393
2023-04-02,1798.4507980409003,1725.3361951617787,1877.106042384487
2023-04-03,1810.8027669324551,1735.3299683519706,1884.0808668691852
2023-04-04,1816.810660096466,1743.0619670339645,1895.2972180347754
2023-04-05,1808.7069803412057,1738.3715623633914,1886.2763848923757
2023-04-06,1804.6032723656285,1734.2146095937605,1878.7494726582875
2023-04-07,1803.6183784881232,1728.2748382091113,1873.4621294534938
2023-04-08,1814.6502266348132,1741.7963726836815,1892.3022008851085
2023-04-09,1806.5304793172572,1733.9842633399749,1887.9931842428825
2023-04-10,1811.9818072500532,1734.128654025554,1887.7160317284029
2023-04-11,1822.677837527003,1750.17249414759,1896.5783449417527
2023-04-12,1799.187115078901,1726.203271411785,1870.6514274499355
2023-04-13,1805.819239437117,1729.5314206117598,1879.6135803104712
2023-04-14,1802.4579499292574,1730.1549038206308,1873.7861067092185
2023-04-15,1814.86830684319,1733.055532512698,1886.9084408514732
2023-04-16,1802.9981373868397,1729.0491884433711,1876.6967016290614
2023-04-17,1812.910922176949,1740.8599238026054,1888.428235491507
2023-04-18,1819.9169347903166,1742.993259755962,1887.8690353059135
2023-04-19,1809.0565052378797,1738.1064557520428,1880.9580759109488
2023-04-20,1807.5374045728502,1727.4372963881165,1876.1278097912666
2023-04-21,1798.6117805939202,1721.6623983321122,1879.592370494307
