ds,yhat,yhat_lower,yhat_upper
2023-01-01,2166.246880099385,1928.2131039146534,2426.119180319708
2023-01-02,2256.9505110677837,2008.2636801702406,2529.5888832676596
2023-01-03,2233.2228381374593,1946.312639680626,2490.114817558094
2023-01-04,2193.2012225676376,1918.0795299835306,2444.5881103628017
2023-01-05,2244.5631184315225,1977.165901602045,2534.6194828922953
2023-01-06,2237.1759795037133,1970.2012126299437,2500.1889504763176
2023-01-07,2267.5594818846866,1989.0140939138062,2528.108634938538
2023-01-08,2213.365620983631,1949.9627141511414,2488.77477141765
2023-01-09,2245.11244676464,1993.1030510551068,2494.3614707785514
2023-01-10,2211.0237991842664,1948.758700414296,2487.4840366452395
2023-01-11,2200.671447888512,1932.9042372905137,2456.295148425316
2023-01-12,2243.7176993873923,1997.5948836681919,2512.9897697310043
2023-01-13,2243.4486325865278,1989.745984593306,2498.209902096341
2023-01-14,2254.141331233213,1973.3514516871046,2520.975436182037
2023-01-15,2195.503781531685,1935.167672637072,2447.7398828172472
2023-01-16,2233.071335923087,1975.8082625304062,2487.6392015470637
2023-01-17,2257.889539435684,1997.14313325548,2519.120025542223
2023-01-18,2165.7018256832916,1929.0074078047608,2431.53962241536
2023-01-19,2243.441957687758,1984.8160359531391,2501.736801173634
2023-01-20,2227.5898614707944,1978.7817816837492,2483.981344576456
2023-01-21,2261.474639634167,1973.2789103751213,2542.1879394873113
2023-01-22,2207.014133002314,1950.709203786711,2455.1770361707186
2023-01-23,2253.3892572042164,1978.5065657965508,2508.9381452371986
2023-01-24,2234.937259848155,1975.7239668539287,2479.2828153880428
2023-01-25,2190.9232731283437,1911.4373486173413,2459.5694710674957
2023-01-26,2247.019282862545,1960.4491399428616,2517.5981586552875
2023-01-27,2235.6005064808905,1956.3639708886037,2489.0026186808277
2023-01-28,2234.385248080803,1968.270364902666,2490.754738086098
2023-01-29,2202.951501066205,1950.935233614802,2497.3590201047964
2023-01-30,2233.738737664845,1968.5125875904962,2480.014793983705
2023-01-31,2207.6905750349365,1930.8489455395736,2457.5693323414025
2023-02-01,2198.08863996467,1931.4430739004363,2466.8068695404854
2023-02-02,2243.601904417254,1971.085631455446,2514.2985068022067
2023-02-03,2254.2932154194937,1999.6844757514712,2518.0000164094304
2023-02-04,2276.267705362359,2015.2762807340587,2533.12528870854
2023-02-05,2213.138319905754,1961.854551809463,2464.339491460146
2023-02-06,2224.3133034509674,1957.2106983382698,2475.5301937980653
2023-02-07,2221.3385734339868,1979.530797046564,2481.8977096234753
2023-02-08,2209.455372917321,1958.3368315596895,2469.1273722018004
2023-02-09,2260.7518973052715,1979.632914835367,2528.7134838438874
2023-02-10,2239.26924092425,1968.3369163027485,2497.5261842648556
2023-02-11,2254.5744253908456,1987.6885276555925,2508.911670211434
2023-02-12,2214.305928483722,1948.335474538086,2469.1660513853208
2023-02-13,2256.624790154653,2001.5849233672243,2523.5081928504014
2023-02-14,2254.090861066019,1993.3407983138452,2516.342911063995
2023-02-15,2196.6764275841083,1942.4647136679675,2468.903860122798
2023-02-16,2240.4648346642034,1981.1635408167024,2508.4945453300957
2023-02-17,2238.4349404263844,1972.366063159526,2503.8255390600957
2023-02-18,2259.749907430668,1990.886065682052,2501.9330571616524
2023-02-19,2193.814481309309,1924.2487654690724,2465.2574361213246
2023-02-20,2221.5179232284822,1956.3472168633257,2489.63213244106
2023-02-21,2224.364080425336,1949.9326299569782,2483.779890063753
2023-02-22,2190.2017766550266,1918.206390314875,2455.832605612764
2023-02-23,2244.2287053368027,1978.371595835448,2525.570189820239
2023-02-24,2236.858264192283,1997.0364693335432,2518.7863545574355
