ds,yhat,yhat_lower,yhat_upper
2023-01-01,2166.2471649738213,1920.4160678007254,2418.9943362895538
2023-01-02,2256.9513912120333,1997.2429001003616,2518.7673863753503
2023-01-03,2233.2233314183086,1973.305116339909,2499.186351650627
2023-01-04,2193.2017947227237,1937.1782189981795,2463.814137602228
2023-01-05,2244.5637079924254,1980.9153220169856,2503.0984822365804
2023-01-06,2237.17662249996,1955.2002260916145,2513.6325623570233
2023-01-07,2267.560139809678,2021.2466994663605,2547.6480400370806
2023-01-08,2213.366561659359,1957.7483716679176,2479.9165406812367
2023-01-09,2245.1131264157916,1969.6006314112706,2512.0443567125953
2023-01-10,2211.024059640038,1950.0908228631724,2489.850044083521
2023-01-11,2200.672248278416,1936.9598404853002,2461.8062472898087
2023-01-12,2243.7183539067105,1980.9215616686315,2524.24666750372
2023-01-13,2243.44946477225,1967.320158561273,2510.3071955004366
2023-01-14,2254.141890684769,1994.0219169960665,2529.959306832536
2023-01-15,2195.5043996976215,1910.222933794245,2458.5285620100744
2023-01-16,2233.071877198875,1959.6615089109694,2485.2142616088186
2023-01-17,2257.8904142644024,1985.8689316970317,2529.4410051047025
2023-01-18,2165.70212895602,1904.62555824632,2434.570856533063
2023-01-19,2243.442801686459,1971.5431422450483,2513.2738153348596
2023-01-20,2227.590451753258,1956.7748788672363,2494.7745368904443
2023-01-21,2261.475352032583,2013.525313987206,2519.6849566656074
2023-01-22,2207.015122856559,1942.2081955774665,2478.297920671619
2023-01-23,2253.3902084483047,2007.696285237421,2502.4593896535057
2023-01-24,2234.9377883126826,1957.898834692499,2470.6198896491696
2023-01-25,2190.923981590008,1933.5529312919616,2463.098159782926
2023-01-26,2247.0201557302425,1988.3710684136659,2517.841918341227
2023-01-27,2235.6012258443,1968.7954949265777,2499.4333390330908
2023-01-28,2234.385589751779,1985.9252915622017,2494.6994789316504
2023-01-29,2202.9524371547877,1932.337633164277,2479.8468381180137
2023-01-30,2233.7393668324307,1976.9749434995863,2519.3643293474397
2023-01-31,2207.690850158759,1940.8249198947804,2476.7089480851096
2023-02-01,2198.089427814677,1940.3049063331198,2438.533411599416
2023-02-02,2243.602633505635,1985.6518122686984,2523.4412993974347
2023-02-03,2254.294142236195,1969.3293448983936,2500.437708325609
2023-02-04,2276.2685631711734,1995.24187989713,2524.5011404411725
2023-02-05,2213.139356283187,1950.9792387363798,2461.2809883255013
2023-02-06,2224.3138412871604,1948.0809392734918,2472.1683003497715
2023-02-07,2221.339138075703,1942.2363582755931,2486.8049344700767
2023-02-08,2209.456259106514,1952.788817939106,2468.1107765398647
2023-02-09,2260.7528885623638,1998.1203623552226,2510.025642031127
2023-02-10,2239.270091926678,1963.8979889509571,2514.649935967115
2023-02-11,2254.575105369917,1998.0287132470296,2525.1087197875577
2023-02-12,2214.3069882105574,1949.4324652535731,2452.3436896835765
2023-02-13,2256.625770224285,1981.8530485317547,2533.45581315932
2023-02-14,2254.0917494427304,1987.429691302752,2501.011175965232
2023-02-15,2196.6772174555026,1936.636111558332,2475.948027238577
2023-02-16,2240.4654948547204,1961.7956830180685,2505.81729671824
2023-02-17,2238.4357502594953,1978.0498862183358,2496.756109575614
2023-02-18,2259.7505467078263,1995.3604937905284,2515.5936737318953
2023-02-19,2193.815230317942,1941.345271867267,2465.425525082451
2023-02-20,2221.518491033651,1966.4778017756312,2471.1426798591283
2023-02-21,2224.3645352166895,1945.5179998333774,2497.044526296071
2023-02-22,2190.202410454181,1940.331140044999,2460.236195790675
2023-02-23,2244.2295494789423,1988.6745929062859,2509.02126997406
2023-02-24,2236.8590674398524,1989.2963604094243,2492.3011307863862
2023-02-25,2263.614322982446,2000.1129943247006,2505.800111082506
2023-02-26,2206.6761131505273,1964.3021984104769,2482.6650930060337
2023-02-27,2241.227898184323,1984.1666266458967,2503.670841922188
